Sentence,Groups,PatternType
who did he see a classmate of ?,NO,Wh-interrogatives
who did he see the sister of ?,NO,Wh-interrogatives
who did he see a picture of ?,NO,Wh-interrogatives
who did he see a friend with ?,NO,Wh-interrogatives
who did he spot a classmate of ?,NO,Wh-interrogatives
who did he spot the sister of ?,NO,Wh-interrogatives
who did he spot a picture of ?,NO,Wh-interrogatives
who did he spot a friend with ?,NO,Wh-interrogatives
who did he hate a classmate of ?,NO,Wh-interrogatives
who did he hate the sister of ?,NO,Wh-interrogatives
who did he hate a picture of ?,NO,Wh-interrogatives
who did he hate a friend with ?,NO,Wh-interrogatives
who did he ruin a classmate of ?,NO,Wh-interrogatives
who did he ruin the sister of ?,NO,Wh-interrogatives
who did he ruin a picture of ?,NO,Wh-interrogatives
who did he ruin a friend with ?,NO,Wh-interrogatives
who did he look at a classmate of ?,NO,Wh-interrogatives
who did he look at the sister of ?,NO,Wh-interrogatives
who did he look at a picture of ?,NO,Wh-interrogatives
who did he look at a friend with ?,NO,Wh-interrogatives
who did john see a classmate of ?,NO,Wh-interrogatives
who did john see the sister of ?,NO,Wh-interrogatives
who did john see a picture of ?,NO,Wh-interrogatives
who did john see a friend with ?,NO,Wh-interrogatives
who did john spot a classmate of ?,NO,Wh-interrogatives
who did john spot the sister of ?,NO,Wh-interrogatives
who did john spot a picture of ?,NO,Wh-interrogatives
who did john spot a friend with ?,NO,Wh-interrogatives
who did john hate a classmate of ?,NO,Wh-interrogatives
who did john hate the sister of ?,NO,Wh-interrogatives
who did john hate a picture of ?,NO,Wh-interrogatives
who did john hate a friend with ?,NO,Wh-interrogatives
who did john ruin a classmate of ?,NO,Wh-interrogatives
who did john ruin the sister of ?,NO,Wh-interrogatives
who did john ruin a picture of ?,NO,Wh-interrogatives
who did john ruin a friend with ?,NO,Wh-interrogatives
who did john look at a classmate of ?,NO,Wh-interrogatives
who did john look at the sister of ?,NO,Wh-interrogatives
who did john look at a picture of ?,NO,Wh-interrogatives
who did john look at a friend with ?,NO,Wh-interrogatives
who did my friend see a classmate of ?,NO,Wh-interrogatives
who did my friend see the sister of ?,NO,Wh-interrogatives
who did my friend see a picture of ?,NO,Wh-interrogatives
who did my friend see a friend with ?,NO,Wh-interrogatives
who did my friend spot a classmate of ?,NO,Wh-interrogatives
who did my friend spot the sister of ?,NO,Wh-interrogatives
who did my friend spot a picture of ?,NO,Wh-interrogatives
who did my friend spot a friend with ?,NO,Wh-interrogatives
who did my friend hate a classmate of ?,NO,Wh-interrogatives
who did my friend hate the sister of ?,NO,Wh-interrogatives
who did my friend hate a picture of ?,NO,Wh-interrogatives
who did my friend hate a friend with ?,NO,Wh-interrogatives
who did my friend ruin a classmate of ?,NO,Wh-interrogatives
who did my friend ruin the sister of ?,NO,Wh-interrogatives
who did my friend ruin a picture of ?,NO,Wh-interrogatives
who did my friend ruin a friend with ?,NO,Wh-interrogatives
who did my friend look at a classmate of ?,NO,Wh-interrogatives
who did my friend look at the sister of ?,NO,Wh-interrogatives
who did my friend look at a picture of ?,NO,Wh-interrogatives
who did my friend look at a friend with ?,NO,Wh-interrogatives
which girl did he see a classmate of ?,NO,Wh-interrogatives
which girl did he see the sister of ?,NO,Wh-interrogatives
which girl did he see a picture of ?,NO,Wh-interrogatives
which girl did he see a friend with ?,NO,Wh-interrogatives
which girl did he spot a classmate of ?,NO,Wh-interrogatives
which girl did he spot the sister of ?,NO,Wh-interrogatives
which girl did he spot a picture of ?,NO,Wh-interrogatives
which girl did he spot a friend with ?,NO,Wh-interrogatives
which girl did he hate a classmate of ?,NO,Wh-interrogatives
which girl did he hate the sister of ?,NO,Wh-interrogatives
which girl did he hate a picture of ?,NO,Wh-interrogatives
which girl did he hate a friend with ?,NO,Wh-interrogatives
which girl did he ruin a classmate of ?,NO,Wh-interrogatives
which girl did he ruin the sister of ?,NO,Wh-interrogatives
which girl did he ruin a picture of ?,NO,Wh-interrogatives
which girl did he ruin a friend with ?,NO,Wh-interrogatives
which girl did he look at a classmate of ?,NO,Wh-interrogatives
which girl did he look at the sister of ?,NO,Wh-interrogatives
which girl did he look at a picture of ?,NO,Wh-interrogatives
which girl did he look at a friend with ?,NO,Wh-interrogatives
which girl did john see a classmate of ?,NO,Wh-interrogatives
which girl did john see the sister of ?,NO,Wh-interrogatives
which girl did john see a picture of ?,NO,Wh-interrogatives
which girl did john see a friend with ?,NO,Wh-interrogatives
which girl did john spot a classmate of ?,NO,Wh-interrogatives
which girl did john spot the sister of ?,NO,Wh-interrogatives
which girl did john spot a picture of ?,NO,Wh-interrogatives
which girl did john spot a friend with ?,NO,Wh-interrogatives
which girl did john hate a classmate of ?,NO,Wh-interrogatives
which girl did john hate the sister of ?,NO,Wh-interrogatives
which girl did john hate a picture of ?,NO,Wh-interrogatives
which girl did john hate a friend with ?,NO,Wh-interrogatives
which girl did john ruin a classmate of ?,NO,Wh-interrogatives
which girl did john ruin the sister of ?,NO,Wh-interrogatives
which girl did john ruin a picture of ?,NO,Wh-interrogatives
which girl did john ruin a friend with ?,NO,Wh-interrogatives
which girl did john look at a classmate of ?,NO,Wh-interrogatives
which girl did john look at the sister of ?,NO,Wh-interrogatives
which girl did john look at a picture of ?,NO,Wh-interrogatives
which girl did john look at a friend with ?,NO,Wh-interrogatives
which girl did my friend see a classmate of ?,NO,Wh-interrogatives
which girl did my friend see the sister of ?,NO,Wh-interrogatives
which girl did my friend see a picture of ?,NO,Wh-interrogatives
which girl did my friend see a friend with ?,NO,Wh-interrogatives
which girl did my friend spot a classmate of ?,NO,Wh-interrogatives
which girl did my friend spot the sister of ?,NO,Wh-interrogatives
which girl did my friend spot a picture of ?,NO,Wh-interrogatives
which girl did my friend spot a friend with ?,NO,Wh-interrogatives
which girl did my friend hate a classmate of ?,NO,Wh-interrogatives
which girl did my friend hate the sister of ?,NO,Wh-interrogatives
